Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
19/067,2019-06-15,7,8,17,30,42,44,24,,,2,4,2,1,1,0,2,0.00,0,1.50,1483980,67.50,87930,205.00,9600,3948.20,640,6382.50,320,78077.50,40,48088558
19/066,2019-06-13,3,6,21,31,33,38,45,21,,4,2,2,0,1,3,0,0.00,0,2.00,1020220,73.50,74020,168.50,9600,4404.80,640,4714.50,320,81839.20,40,44754043
19/065,2019-06-11,8,19,20,21,25,37,13,8,,4,2,1,2,2,1,0,0.50,26687540,1.00,2322390,72.50,85420,192.50,9600,3899.20,640,6645.80,320,77334.80,40,49217420
19/064,2019-06-09,3,8,24,27,28,49,44,24,,3,3,2,0,3,0,1,0.50,39440730,1.00,2761510,125.50,58670,253.00,9600,6706.30,640,6567.50,320,118417.20,40,62574092
19/063,2019-06-06,6,13,21,24,32,47,38,"21,24",6,3,3,1,1,2,1,1,0.00,0,2.00,1368120,94.00,77620,228.90,9600,4174.50,640,5983.80,320,81105.50,40,55692553
19/062,2019-06-04,16,21,24,28,37,40,48,,,2,4,0,1,3,2,0,0.00,0,1.50,1813250,70.00,103610,167.50,9600,3714.30,640,5312.00,320,70622.50,40,52658818
19/061,2019-06-01,3,13,19,23,35,43,26,,,6,0,1,2,1,1,1,0.00,0,2.50,386400,252.00,19200,254.50,9600,10034.80,640,5226.30,320,88176.30,40,43755700
19/060,2019-05-30,12,15,16,31,36,46,3,,,2,4,0,3,0,2,1,0.00,0,1.00,1630860,118.00,36850,225.70,9600,5747.50,640,5850.70,320,73142.10,40,41834692
19/059,2019-05-28,22,29,37,42,45,49,47,,,4,2,0,0,2,1,3,0.50,13994300,1.50,1332060,70.00,76110,263.50,9600,3466.50,640,5972.50,320,63861.60,40,44170262
19/058,2019-05-25,12,14,23,30,40,48,1,14,,1,5,0,2,2,1,1,0.00,0,1.00,1697140,46.00,98380,116.50,9600,2370.10,640,3799.80,320,48828.40,40,33773390
19/057,2019-05-23,11,13,14,17,33,43,27,,,5,1,0,4,0,1,1,1.00,29224510,3.50,654570,117.50,51990,297.50,9600,5528.70,640,7548.60,320,98337.00,40,54680195
